"Block Offset 2, x; Block Offset 16, x; Block Offset 32, x; Block Offset 64, x","Block Offset 2, y","Block Offset 16, y","Block Offset 32, y","Block Offset 64, y"
"1","13.8348","4.6845","3.3228","2.5907"
"2","12.8261","4.1653","2.8411","2.1054"
"4","12.4742","4.0137","2.7117","1.9858"
"8","12.2737","3.908","2.6499","1.9119"
"16","12.0856","3.8682","2.5845","1.8843"
