"Cache Size 8, x; Cache Size 64, x; Cache Size 256, x; Cache Size 1024, x","Cache Size 8, y","Cache Size 64, y","Cache Size 256, y","Cache Size 1024, y"
"1","20.6329","10.2973","8.7212","8.3383"
"2","18.3221","9.263","8.3151","8.1748"
"4","16.6434","8.883","8.2084","8.1653"
"8","16.4632","8.7249","8.1715","8.1653"
"16","16.5842","8.68","8.1663","8.1649"
