"Block Offset 2, x; Block Offset 16, x; Block Offset 32, x; Block Offset 64, x","Block Offset 2, y","Block Offset 16, y","Block Offset 32, y","Block Offset 64, y"
"1","13.8348","4.6845","3.3228","2.5907"
"2","12.4787","4.0064","2.7257","2.0142"
"4","11.9911","3.7767","2.508","1.8136"
"8","11.7852","3.6455","2.4006","1.7123"
"16","11.7234","3.612","2.3636","1.6602"
