"Cache Size 8, x; Cache Size 64, x; Cache Size 256, x; Cache Size 1024, x","Cache Size 8, y","Cache Size 64, y","Cache Size 256, y","Cache Size 1024, y"
"4","18.3221","9.263","8.3151","8.1748"
"8","13.0461","6.1115","5.3649","5.2488"
"16","9.3317","4.0064","3.3993","3.299"
"32","7.0773","2.7257","2.1746","2.0803"
"64","6.1762","2.0142","1.4598","1.3561"
