"Block Offset 2, x; Block Offset 8, x; Block Offset 32, x; Block Offset 64, x","Block Offset 2, y","Block Offset 8, y","Block Offset 32, y","Block Offset 64, y"
"1","50.9364","28.0022","16.5326","14.8849"
"2","40.6287","22.5212","13.1916","11.4423"
"4","30.9483","17.0107","9.8948","8.729"
"8","24.2494","13.0401","7.1969","6.2834"
"16","18.5965","9.617","4.9434","4.1502"
"32","15.0358","7.6129","3.6961","2.9453"
"64","12.8425","6.3259","2.8523","2.1013"
"128","11.8249","5.7092","2.4383","1.7156"
"256","11.3101","5.3937","2.2014","1.4877"
"512","11.1397","5.2869","2.1242","1.396"
"1024","11.0952","5.2533","2.0806","1.3613"
"2048","11.0926","5.2504","2.0787","1.3504"
"4096","11.0794","5.2369","2.0624","1.337"
"8192","11.08","5.2376","2.0611","1.3337"
