"Cache Size 8, x; Cache Size 64, x; Cache Size 256, x; Cache Size 1024, x","Cache Size 8, y","Cache Size 64, y","Cache Size 256, y","Cache Size 1024, y"
"4","16.8983","9.2611","8.2187","8.1659"
"8","11.8076","6.1077","5.3002","5.2352"
"16","8.4118","4.0124","3.3505","3.2776"
"32","6.4006","2.7238","2.1427","2.0552"
"64","5.4765","1.9796","1.4252","1.3318"
