"Cache Size 8, x; Cache Size 64, x; Cache Size 256, x; Cache Size 1024, x","Cache Size 8, y","Cache Size 64, y","Cache Size 256, y","Cache Size 1024, y"
"4","18.3122","9.5228","8.3404","8.1771"
"8","13.0556","6.3169","5.4025","5.2524"
"16","9.3662","4.1666","3.4359","3.302"
"32","7.1782","2.8558","2.2123","2.0841"
"64","6.2944","2.1141","1.4915","1.3613"
